symbol,product_type,put_call,strike,net_position,price,currency,multiplier,maturity_date
BRFS3,OP,Call,21.25,1800,0.597450733,BRL,1,1/21/2022
B3SA3,OP,Call,13.81,154400,0.013594236,BRL,1,12/17/2021
BBAS,OP,Put,28.87,7800,0.252469033,BRL,1,12/17/2021
PETR4,OP,Call,20.6,67800,9.302628517,BRL,1,1/21/2022
EGIE3,OP,Call,38.5,2500,1.446111441,BRL,1,1/21/2022
EQTL,OP,Call,24.03,-62200,0.213122964,BRL,1,12/17/2021
VIIA3,OP,Call,6.72,50900,0.221804127,BRL,1,2/18/2022
RADL3,OP,Call,24.87,4100,0.052432131,BRL,1,12/17/2021
BBDC3,ST,,,73690,17.06499863,BRL,1,
VALE3,OP,Put,83.97,100,13.15958786,BRL,1,1/21/2022
BBSE,OP,Put,21,2900,0.925371408,BRL,1,1/21/2022
CSNA,OP,Put,33.23,2600,11.29830456,BRL,1,12/17/2021
VALE3,OP,Put,105.47,8100,34.56996536,BRL,1,12/17/2021
B3SA3,OP,Put,11.1,16900,0.650561571,BRL,1,1/21/2022
GGBR4,OP,Put,26.4,-166000,1.008347273,BRL,1,12/17/2021
VIIA3,OP,Put,7.2,19400,1.976721048,BRL,1,1/21/2022
JBSS3,OP,Put,33.48,-2300,1.427670598,BRL,1,1/21/2022
B3SA3,OP,Put,11.81,-244500,0.828242481,BRL,1,12/17/2021
VIIA3,OP,Put,6,100,0.975060463,BRL,1,1/21/2022
PETR4,OP,Call,33.1,-59600,0.567445874,BRL,1,1/21/2022
CSAN3,OP,Put,21,-3000,0.546444178,BRL,1,12/17/2021
VIIA3,OP,Put,6.12,31800,1.109818935,BRL,1,2/18/2022
ITSA4,OP,Call,10.39,-164700,0.176316872,BRL,1,1/21/2022
ELET6,OP,Call,33,30000,0.839408457,BRL,1,12/17/2021
EQTL,OP,Call,23.5,7000,0.888587475,BRL,1,1/21/2022
VALE3,OP,Put,62.47,93100,0.515999317,BRL,1,12/17/2021
VALE3,OP,Put,77.47,10200,7.955739498,BRL,1,1/21/2022
JBSS3,OP,Call,35.73,30400,0.622194052,BRL,1,12/17/2021
BRML3,OP,Put,8.6,-2500,0.931838155,BRL,1,12/17/2021
EQTL,OP,Put,22.28,27000,0.385162145,BRL,1,12/17/2021
EMBR3,OP,Put,23,900,4.771347523,BRL,1,1/21/2022
PETR4,OP,Call,29.1,776200,2.125907183,BRL,1,1/21/2022
VIVT3,OP,Call,45.38,700,4.861895561,BRL,1,12/17/2021
EQTL,OP,Call,24.5,-21900,0.517657757,BRL,1,1/21/2022
BRAP4,OP,Put,44.66,-3200,0.369339913,BRL,1,12/17/2021
LAME4,OP,Put,7.7,-1000,2.548815012,BRL,1,12/17/2021
PETR4,OP,Call,15.99,6200,13.60256004,BRL,1,12/17/2021
ITUB4,OP,Call,22.49,600,1.207618713,BRL,1,1/21/2022
ABEV,OP,Put,21.82,-1200,5.817230225,BRL,1,12/17/2021
CIEL3,OP,Put,3.76,0,1.72211504,BRL,1,12/17/2021
HYPE3,OP,Put,26.5,3000,0.958797157,BRL,1,1/21/2022
CSNA,OP,Call,52.35,-1000,,BRL,1,5/21/2021
ELET3,OP,Put,34.05,20000,2.373879671,BRL,1,1/21/2022
ITUB4,OP,Put,22.24,-152400,0.859292746,BRL,1,1/21/2022
CSNA,OP,Call,23.98,4900,0.380523801,BRL,1,12/17/2021
PETR4,OP,Call,26.35,3000,4.063314915,BRL,1,1/21/2022
EMBR3,OP,Call,32.5,-100,0.008122634,BRL,1,12/17/2021
VALE3,OP,Put,84.61,-5000,13.91379452,BRL,1,4/14/2022
VALE3,OP,Put,64.47,38200,1.841153622,BRL,1,1/21/2022
ABEV,OP,Put,12.57,8600,0.007303067,BRL,1,12/17/2021
B3SA3,OP,Put,20.06,11100,8.847515106,BRL,1,12/17/2021
PETR4,OP,Put,20.99,-93300,0.048913531,BRL,1,12/17/2021
HYPE3,OP,Put,29.5,9800,2.69807744,BRL,1,1/21/2022
MGLU3,OP,Call,14.49,-106800,0.006282565,BRL,1,12/17/2021
CSNA,OP,Put,24.73,9700,3.066178322,BRL,1,12/17/2021
YDUQ3,OP,Call,25,104400,0.250733674,BRL,1,12/17/2021
BRKM5,OP,Call,50,-1800,6.091347218,BRL,1,1/21/2022
VALE3,OP,Put,51.97,103500,0.091038629,BRL,1,12/17/2021
BBAS,OP,Call,30.37,7400,1.861996055,BRL,1,12/17/2021
VIVT3,OP,Call,50.5,1000,1.453910589,BRL,1,1/21/2022
EMBR3,OP,Call,25.5,27000,0.036584329,BRL,1,12/17/2021
PCAR3,OP,Call,25,34800,0.464106083,BRL,1,1/21/2022
ABEV,OP,Call,15.25,-1400,1.261848211,BRL,1,1/21/2022
ELET3,OP,Call,29.05,-100,4.068757057,BRL,1,12/17/2021
MGLU3,OP,Put,24.99,30400,17.89045906,BRL,1,12/17/2021
SPY,ST,,,-3300,455.2700195,USD,1,
BRAP4,OP,Call,54.66,71900,0.404792935,BRL,1,12/17/2021
B3SA3,OP,Put,13.06,151000,1.908301353,BRL,1,12/17/2021
VIVT3,OP,Put,43.38,12300,0.075629137,BRL,1,12/17/2021
SMH,ST,,,2957,308.2849731,USD,1,
MGLU3,OP,Call,8.79,-30100,0.100754254,BRL,1,12/17/2021
LAME4,OP,Call,6.9,-400,0.027910573,BRL,1,12/17/2021
MRFG,OP,Call,29.1,63600,0.010026505,BRL,1,12/17/2021
GE,OP,Put,85,26,0.588243186,USD,100,12/17/2021
AMZN,ST,,,680,3469.594971,USD,1,
MGLU3,OP,Put,8.69,33000,1.835787535,BRL,1,1/21/2022
UGPA3,ST,,,-28181,13.99499989,BRL,1,
ELET3,OP,Put,35.55,7100,3.318814278,BRL,1,1/21/2022
ELET3,OP,Call,37.05,4000,0.641436517,BRL,1,1/21/2022
JBSS3,OP,Call,38.48,-2800,0.609778166,BRL,1,1/21/2022
ABEV,OP,Put,18.5,1500,2.470705509,BRL,1,1/21/2022
PETR4,OP,Put,25.35,-204600,0.453781605,BRL,1,1/21/2022
MGLU3,OP,Put,21.74,12300,14.65432549,BRL,1,12/17/2021
BRAP4,OP,Call,52.16,-3100,1.002864003,BRL,1,12/17/2021
BBDC4,OP,Put,22.32,1000,2.394828558,BRL,1,1/21/2022
ITUB4,OP,Put,22.66,158100,0.747862101,BRL,1,12/17/2021
LAME4,OP,Put,4.95,28100,0.261639386,BRL,1,12/17/2021
CMIG4,OP,Put,15,44800,1.931421399,BRL,1,12/17/2021
VIIA3,OP,Call,10,-66800,0.020306438,BRL,1,1/21/2022
CSNA,OP,Call,35.23,-100,0.00630532,BRL,1,12/17/2021
ABEV,OP,Call,19.07,-58000,0.014291905,BRL,1,12/17/2021
BRKM5,OP,Call,61,47200,0.308941066,BRL,1,12/17/2021
BBAS,OP,Put,27.48,-10100,0.96308744,BRL,1,5/20/2022
BBDC4,OP,Call,20.77,-170390,0.349211246,BRL,1,12/17/2021
ELET6,OP,Call,35,-6000,0.27962324,BRL,1,12/17/2021
B3SA3,OP,Put,15.31,-66000,4.118812561,BRL,1,12/17/2021
BRKM5,OP,Put,49,12100,0.921205997,BRL,1,12/17/2021
B3SA3,OP,Call,20.06,100,7.45E-05,BRL,1,12/17/2021
MGLU3,OP,Put,17.24,100,10.17475986,BRL,1,12/17/2021
VALE3,OP,Put,75.47,-33700,5.555344582,BRL,1,12/17/2021
MGLU3,OP,Put,21.24,2000,14.156497,BRL,1,12/17/2021
ABEV,OP,Call,19.57,-44300,0.011557856,BRL,1,12/17/2021
VALE3,OP,Put,65.47,-200,5.596097946,BRL,1,12/16/2022
CSNA,OP,Call,27.23,-45700,0.066995084,BRL,1,12/17/2021
LAME4,OP,Put,5.4,9300,0.670862317,BRL,1,1/21/2022
PETR4,OP,Call,33.6,-66700,0.46545893,BRL,1,1/21/2022
BBSE,OP,Call,28,500,0.012626111,BRL,1,1/21/2022
BBAS,OP,Call,29.37,-8700,2.636591434,BRL,1,12/17/2021
VALE3,OP,Call,77.47,-89900,0.520011187,BRL,1,12/17/2021
MGLU3,OP,Put,11.24,123000,4.216714859,BRL,1,12/17/2021
GOAU4,OP,Put,12.01,7100,1.208163977,BRL,1,12/17/2021
VIIA3,OP,Call,14.75,3400,,BRL,1,12/17/2021
VALE3,OP,Put,95.47,-122900,23.9540596,BRL,1,1/21/2022
BRML3,OP,Put,8.4,46000,0.872352839,BRL,1,1/21/2022
SANB11,OP,Put,35.2,30000,2.58004117,BRL,1,12/17/2021
VALE3,OP,Call,79.47,-25000,1.450841188,BRL,1,1/21/2022
BRDT3,ST,,,3501,21.27500153,BRL,1,
UGPA3,OP,Call,12.8,-2300,1.407064557,BRL,1,12/17/2021
QQQ,ST,,,5700,391.1900024,USD,1,
PCAR3,OP,Call,24,7300,0.706490219,BRL,1,1/21/2022
MULT3,OP,Call,21,-119500,0.680406272,BRL,1,1/21/2022
VIIA3,OP,Call,10,-122100,0.003696302,BRL,1,12/17/2021
VALE3,OP,Call,63.47,-7400,7.908080578,BRL,1,12/17/2021
PETR4,OP,Call,34.1,-40700,0.737038016,BRL,1,2/18/2022
CYRE3,OP,Call,20.41,-100,0.014234699,BRL,1,12/17/2021
PETR4,OP,Put,34.1,27700,4.576178074,BRL,1,1/21/2022
MGLU3,OP,Call,20.49,-100,0.007310113,BRL,1,1/21/2022
UGPA3,OP,Put,12.8,700,0.16829221,BRL,1,12/17/2021
LAME4,OP,Put,3.75,-2600,0.02082104,BRL,1,12/17/2021
EQTL,OP,Put,23.53,15000,0.999875426,BRL,1,12/17/2021
MGLU3,OP,Put,5.99,5000,0.317102373,BRL,1,1/21/2022
VALE3,OP,Put,35.47,-100,0.010264469,BRL,1,12/17/2021
BRAP4,OP,Call,55.66,13000,0.274857044,BRL,1,12/17/2021
PETR4,OP,Put,15.99,178000,0.011197143,BRL,1,12/17/2021
LAME4,OP,Put,6.3,10000,1.197884321,BRL,1,12/17/2021
CSNA,OP,Put,16.73,-11900,0.077595189,BRL,1,12/17/2021
BBDC4,OP,Put,15.95,10190,0.135772258,BRL,1,1/21/2022
MGLU3,ST,,,1661449,6.984999657,BRL,1,
VIIA3,OP,Put,15.5,3200,10.20000935,BRL,1,12/17/2021
MGLU3,OP,Call,14.49,12700,0.026103763,BRL,1,1/21/2022
RADL3,OP,Call,22.9,41200,0.776794732,BRL,1,1/21/2022
BBAS,OP,Call,33.21,-15300,1.125983119,BRL,1,1/21/2022
ITSA4,ST,,,-4353,9.725000381,BRL,1,
BBDC4,OP,Put,23.91,31800,3.82596159,BRL,1,12/17/2021
BRAP4,OP,Call,52,6400,2.166819334,BRL,1,1/21/2022
KLBN11,OP,Call,24.15,20100,1.361138225,BRL,1,1/21/2022
ITUB4,OP,Call,25.66,224500,0.024725415,BRL,1,12/17/2021
B3SA3,OP,Put,10.81,-80200,0.297103703,BRL,1,12/17/2021
RADL3,OP,Put,20.87,1300,0.262123048,BRL,1,12/17/2021
BRAP4,OP,Call,47.66,3000,3.55114603,BRL,1,12/17/2021
BBSE,OP,Put,18.98,42000,0.094997697,BRL,1,12/17/2021
EGIE3,OP,Put,37.5,-500,0.356729001,BRL,1,12/17/2021
JBSS3,OP,Call,34.48,-7800,1.940414786,BRL,1,1/21/2022
BRAP4,OP,Put,49.16,-1000,1.318463683,BRL,1,12/17/2021
BBDC4,OP,Put,25.32,70220,5.224583149,BRL,1,12/17/2021
MGLU3,OP,Put,7.79,52900,1.006513834,BRL,1,12/17/2021
KLBN11,OP,Call,25.9,800,0.196595132,BRL,1,12/17/2021
BA,ST,,,2552,190.8349915,USD,1,
VALE3,OP,Call,132.47,-1000,0.002331334,BRL,1,12/17/2021
TAEE11,OP,Put,39.75,5400,3.658453941,BRL,1,12/17/2021
MGLU3,OP,Call,13.49,-46700,0.007757973,BRL,1,12/17/2021
BRKM5,OP,Call,48,7100,7.461064816,BRL,1,1/21/2022
YDUQ3,OP,Put,23,3100,2.297486782,BRL,1,1/21/2022
PETR3,OP,Put,29,-12000,1.052811861,BRL,1,1/21/2022
PETR3,OP,Put,30.5,-20900,1.628202438,BRL,1,1/21/2022
B3SA3,OP,Call,18.31,-18000,,BRL,1,12/17/2021
VIIA3,OP,Put,7.6,-26100,2.348884106,BRL,1,12/17/2021
BBDC3,OP,Call,17.56,-2000,0.345927507,BRL,1,12/17/2021
BRFS3,OP,Put,16,-36000,0.077709243,BRL,1,12/17/2021
VALE3,OP,Put,87.47,-63900,16.31979561,BRL,1,1/21/2022
BBSE,OP,Call,24,-4000,0.076491214,BRL,1,1/21/2022
MULT3,OP,Put,20.5,46800,1.563311815,BRL,1,12/17/2021
EGIE3,OP,Call,39.5,-8400,0.375001997,BRL,1,12/17/2021
MRFG,OP,Put,26.6,-51700,4.60101366,BRL,1,12/17/2021
CIEL3,OP,Call,2.56,300,0.05176359,BRL,1,1/21/2022
GGBR4,OP,Put,21.78,-71500,0.331701934,BRL,1,1/21/2022
EMBR3,OP,Put,21.5,73200,3.295338154,BRL,1,12/17/2021
VIIA3,OP,Call,15,-9200,,BRL,1,12/17/2021
MGLU3,OP,Put,21.74,5300,14.46889687,BRL,1,1/21/2022
MULT3,OP,Call,25.5,-4300,0.013479187,BRL,1,12/17/2021
PETR4,OP,Call,25.1,-300,5.126624107,BRL,1,1/21/2022
PCAR3,OP,Call,22.5,-12100,1.26075983,BRL,1,1/21/2022
GGBR4,OP,Call,25.28,-110200,2.467049599,BRL,1,1/21/2022
VIIA3,OP,Call,16.5,100,0.004914279,BRL,1,1/21/2022
USIM5,OP,Put,14.32,-36200,1.129632115,BRL,1,12/17/2021
VIIA3,OP,Call,12,-18800,,BRL,1,12/17/2021
PETR4,OP,Call,36.99,24300,0.020356184,BRL,1,12/17/2021
ELET6,OP,Call,35.5,800,0.813293517,BRL,1,1/21/2022
BRDT3,OP,Put,20.22,16900,0.332040638,BRL,1,12/17/2021
CMIG4,OP,Put,13.5,32500,0.6375705,BRL,1,12/17/2021
B3SA3,OP,Call,16.06,142600,0.000567495,BRL,1,12/17/2021
BBDC3,OP,Call,21.56,-300,0.004735959,BRL,1,12/17/2021
VALE3,OP,Put,91.47,31700,20.65217209,BRL,1,12/17/2021
TAEE11,OP,Call,38,-8000,0.104662925,BRL,1,12/17/2021
VIIA3,OP,Call,7.2,-74500,0.099067658,BRL,1,1/21/2022
VALE3,OP,Put,95.47,44900,24.62355995,BRL,1,12/17/2021
BOVA,OP,Put,125,200,25.94705391,BRL,1,1/21/2022
EQTL,OP,Call,25.03,22000,0.064100154,BRL,1,12/17/2021
B3SA3,OP,Put,7.88,-70200,0.020308271,BRL,1,12/17/2021
MGLU3,OP,Call,10.99,33000,0.0216344,BRL,1,12/17/2021
VIIA3,OP,Call,8.2,-37100,0.011371693,BRL,1,12/17/2021
CIEL3,ST,,,1553972,2.025000095,BRL,1,
MGLU3,OP,Call,15.74,101900,0.004216925,BRL,1,12/17/2021
VALE3,OP,Call,78.97,302600,0.349755287,BRL,1,12/17/2021
BRDT3,OP,Call,27.22,500,0.020345965,BRL,1,12/17/2021
QQQ,OP,Put,349,-368,1.196965814,USD,100,12/17/2021
VALE3,OP,Put,69.97,-40700,3.650657892,BRL,1,1/21/2022
MRFG,OP,Put,27.6,100,5.572974205,BRL,1,12/17/2021
BBAS,OP,Put,30.12,-66400,0.482817948,BRL,1,12/17/2021
JBSS3,OP,Put,33.48,3100,0.86104846,BRL,1,12/17/2021
BBAS,OP,Put,36.62,10900,4.97100544,BRL,1,12/17/2021
PETR4,OP,Call,30.99,-214700,0.508864939,BRL,1,12/17/2021
VIVT3,OP,Put,45.38,-200,0.154129341,BRL,1,12/17/2021
VALE3,OP,Put,83.47,25300,12.76129627,BRL,1,12/17/2021
VIIA3,OP,Call,5.3,-14800,0.325975239,BRL,1,12/17/2021
GGBR4,OP,Call,26.65,30900,0.909584582,BRL,1,12/17/2021
B3SA3,OP,Put,13.56,190100,2.390853405,BRL,1,12/17/2021
BRAP4,OP,Put,48.5,-2700,1.898146749,BRL,1,1/21/2022
MRNA,ST,,,861,314.539978,USD,1,
BRDT3,OP,Call,21.22,-50500,0.821505129,BRL,1,12/17/2021
JBSS3,OP,Call,40.98,1400,0.041262552,BRL,1,12/17/2021
JBSS3,OP,Call,38.48,-7000,0.609778166,BRL,1,1/21/2022
VIIA3,OP,Put,5.2,-4600,0.318810105,BRL,1,12/17/2021
BBAS,OP,Put,32.21,32400,1.789967179,BRL,1,1/21/2022
BRKM5,OP,Put,50,3500,1.168973684,BRL,1,12/17/2021
TAEE11,OP,Put,36,9300,0.610936999,BRL,1,12/17/2021
MGLU3,OP,Put,13.24,9700,6.196322441,BRL,1,12/17/2021
MGLU3,OP,Call,17.49,36900,0.002541209,BRL,1,12/17/2021
BBAS,OP,Put,33.12,2000,1.903931022,BRL,1,12/17/2021
HYPE3,OP,Put,29.97,3200,2.973346233,BRL,1,12/17/2021
VIIA3,OP,Call,10.25,1900,0.017927466,BRL,1,1/21/2022
CSNA,OP,Call,21.23,-200,1.46756947,BRL,1,12/17/2021
VALE3,OP,Call,45.47,1400,31.07473373,BRL,1,12/16/2022
ITSA4,OP,Put,9.52,70500,0.134629175,BRL,1,12/17/2021
BBAS,OP,Put,29.21,2300,0.692307532,BRL,1,1/21/2022
MGLU3,OP,Put,19.99,21300,12.91200256,BRL,1,12/17/2021
BRDT3,OP,Put,21.5,11100,1.230978608,BRL,1,1/21/2022
ITSA4,OP,Call,9.74,242000,0.454119205,BRL,1,1/21/2022
BRKM5,OP,Call,58,-8600,0.756965101,BRL,1,12/17/2021
ITUB4,OP,Call,21.99,277700,1.500400305,BRL,1,1/21/2022
PETR4,OP,Call,31.1,12900,1.152374506,BRL,1,1/21/2022
MULT3,OP,Put,21.5,-7200,2.364980936,BRL,1,12/17/2021
VIVT3,OP,Put,44.38,-1000,0.113284133,BRL,1,12/17/2021
CYRE3,OP,Put,19.41,2300,5.994795799,BRL,1,12/17/2021
BBAS,OP,Call,28.46,100,4.002958298,BRL,1,1/21/2022
BRKM5,OP,Call,47,8100,6.919010639,BRL,1,12/17/2021
VALE3,OP,Put,60.47,-10300,0.35277459,BRL,1,12/17/2021
ITUB4,OP,Put,22.49,3700,0.964529753,BRL,1,1/21/2022
ABEV,OP,Call,18.57,-367300,0.019116463,BRL,1,12/17/2021
VALE3,OP,Put,75.47,-88400,6.605135441,BRL,1,1/21/2022
ITUB4,OP,Call,21.74,203900,1.665103197,BRL,1,1/21/2022
VIIA3,OP,Put,9.4,8500,4.130369663,BRL,1,12/17/2021
B3SA3,OP,Put,13.31,135400,2.147586346,BRL,1,12/17/2021
BRDT3,OP,Call,23.5,163100,0.521051645,BRL,1,1/21/2022
VIIA3,OP,Put,9.2,200,3.932798862,BRL,1,12/17/2021
ABEV,OP,Put,13.07,-3500,0.013009121,BRL,1,12/17/2021
VIIA3,OP,Put,8.3,-4200,3.040577173,BRL,1,12/17/2021
VALE3,OP,Call,76.97,10500,2.088038445,BRL,1,1/21/2022
ELET6,OP,Call,36.5,18000,0.593326151,BRL,1,1/21/2022
BBDC4,OP,Call,22.64,125300,0.046659417,BRL,1,12/17/2021
PETR4,OP,Call,38.1,-100,0.420133471,BRL,1,3/18/2022
ABEV,OP,Put,15.5,-214400,0.490912646,BRL,1,1/21/2022
AAPL,OP,Put,125,-740,0.467919648,USD,100,1/21/2022
HYPE3,OP,Put,28.5,11800,1.999426126,BRL,1,1/21/2022
MGLU3,OP,Put,9.89,800,2.89757061,BRL,1,12/17/2021
CIEL3,OP,Call,2.36,-143000,0.075664021,BRL,1,1/21/2022
KLBN11,OP,Call,24.4,35400,0.691921353,BRL,1,12/17/2021
VALE3,OP,Put,93.47,-10000,22.01645279,BRL,1,1/21/2022
VIIA3,OP,Put,11.5,36100,6.216517448,BRL,1,12/17/2021
UGPA3,OP,Call,14.8,3000,0.672473848,BRL,1,1/21/2022
VALE3,OP,Put,113.47,27000,42.5340004,BRL,1,12/17/2021
BRKM5,OP,Call,70,14900,0.021854114,BRL,1,12/17/2021
VALE3,OP,Call,86.47,9000,0.070026018,BRL,1,12/17/2021
VIIA3,OP,Put,7.7,15900,2.440907955,BRL,1,1/21/2022
EMBR3,OP,Put,21.5,12400,3.544267893,BRL,1,1/21/2022
VALE3,OP,Put,79.61,10700,10.47647095,BRL,1,4/14/2022
SANB11,OP,Put,36.7,25000,3.887381315,BRL,1,12/17/2021
BRFS3,OP,Put,24.5,16300,5.188036919,BRL,1,12/17/2021
ITUB4,OP,Call,25.16,-201300,0.041190825,BRL,1,12/17/2021
ITUB4,OP,Call,23.41,50900,0.276496768,BRL,1,12/17/2021
ABEV,OP,Put,15.32,-178800,0.195698589,BRL,1,12/17/2021
BBAS,OP,Put,33.71,10200,2.667735338,BRL,1,1/21/2022
MGLU3,OP,Put,16.49,12500,9.293038368,BRL,1,1/21/2022
VIIA3,OP,Put,8.4,-15300,3.13956213,BRL,1,12/17/2021
EMBR3,OP,Put,19,14200,1.361491561,BRL,1,12/17/2021
UGPA3,OP,Call,15.3,5500,0.50519067,BRL,1,1/21/2022
VALE3,OP,Put,66.21,2700,4.691240311,BRL,1,7/15/2022
MGLU3,OP,Put,12.24,20800,5.207009792,BRL,1,12/17/2021
CMIG4,OP,Put,12,-100,0.081008017,BRL,1,12/17/2021
VIIA3,OP,Put,13.5,41200,8.208263397,BRL,1,12/17/2021
YDUQ3,OP,Put,21,100,1.337285757,BRL,1,1/21/2022
ELET6,OP,Put,37.5,12000,5.18320322,BRL,1,12/17/2021
BRAP4,OP,Put,54.66,-84800,4.697969913,BRL,1,12/17/2021
MGLU3,ST,,,5300,6.984999657,BRL,1,
PETR4,OP,Put,35.1,9600,5.428694725,BRL,1,1/21/2022
VALE3,OP,Put,82.97,8800,12.27638149,BRL,1,12/17/2021
BRDT3,OP,Call,24.22,70900,0.074853823,BRL,1,12/17/2021
VIIA3,OP,Call,10,100,0.16898866,BRL,1,5/20/2022
ITUB4,OP,Call,24.41,-700,0.094083764,BRL,1,12/17/2021
TAEE11,ST,,,32878,36.00499725,BRL,1,
JBSS3,OP,Call,34.48,-400,1.089837551,BRL,1,12/17/2021
BBDC4,OP,Call,19.59,-950,1.447750568,BRL,1,1/21/2022
ITSA4,OP,Put,10.39,554600,0.700696945,BRL,1,1/21/2022
BRKM5,OP,Call,65,100,0.08417052,BRL,1,12/17/2021
USIM5,OP,Call,18.82,5000,0.012276262,BRL,1,12/17/2021
USIM5,OP,Call,17.82,214600,0.019087255,BRL,1,12/17/2021
VIIA3,OP,Put,12.75,14100,7.461472511,BRL,1,12/17/2021
VIIA3,OP,Call,6.6,74400,0.046295043,BRL,1,12/17/2021
BRFS3,OP,Put,21.25,75000,2.343818903,BRL,1,1/21/2022
LAME4,OP,Call,6.1,29100,0.082013011,BRL,1,12/17/2021
PETR4,OP,Call,33.99,-25000,0.078832045,BRL,1,12/17/2021
CIEL3,OP,Put,2.16,-167900,0.180057928,BRL,1,12/17/2021
QQQ,OP,Put,299,650,1.069687128,USD,100,1/21/2022
VALE3,OP,Put,103.61,-1900,30.01745033,BRL,1,4/14/2022
PETR4,OP,Put,19.74,-143600,0.032813873,BRL,1,12/17/2021
ABEV,OP,Put,16,75800,0.694256604,BRL,1,1/21/2022
CSNA,OP,Put,38.73,500,16.76855278,BRL,1,12/17/2021
PETR4,OP,Put,29.1,74200,1.371762156,BRL,1,1/21/2022
